1,1,2,2
-125,-130,-125,-150
107.63,107.63,-31.25,-37.5
400,400,400,400
13.411,13.411,13.411,13.411
13.411,13.411,13.411,13.411
39.146,39.519,39.146,41.01
3,4,3,4
