891.8,860.66,710.34,798.47,738.51
898.51,867.37,716.47,805.18,745.14
905.21,874.07,722.6,811.88,751.77
911.92,880.78,728.72,818.59,758.4
918.63,887.48,734.85,825.29,765.04
925.33,894.19,740.98,832,771.67
932.04,900.89,747.11,838.7,778.3
938.74,907.6,753.23,845.41,784.93
945.45,914.31,759.36,852.11,791.56
952.15,921.01,765.49,858.82,798.2
958.86,927.72,771.61,865.53,804.83
965.57,934.42,777.74,872.23,811.46
972.27,941.13,783.87,878.94,818.09
978.98,947.83,789.99,885.64,824.73
985.68,954.54,796.12,892.35,831.36
992.39,961.24,802.25,899.05,837.99
999.09,967.95,808.38,905.76,844.62
1005.8,974.66,814.5,912.47,851.26
1012.5,981.36,820.63,919.17,857.89
1019.2,988.07,826.76,925.88,864.52
1025.9,994.77,832.88,932.58,871.15
1032.6,1001.5,839.01,939.29,877.79
1039.3,1008.2,845.14,945.99,884.42
1046,1014.9,851.26,952.7,891.05
1052.7,1021.6,857.39,959.4,897.68
1059.4,1028.3,863.52,966.11,904.32
1,1,1,2,2
